event,label,background,composite,P_rated,V_ref,I_rated,C_bus,L_line,noise_frac,adc_bits,R_f,arc_place,t_ramp,smoothed,T1,T2,sched_tier,W_ms,di_end,di_max,didt_max,t_rise,dv_early,di_early,v_sag_end,v_min,r_dyn,collapse,spec_i,spec_v,has_period,period_strength,n_tiers,T1_est,T2_est,phase_err_t1,phase_err_t2,phase_err,resid_period,onset_found,t_on_rel,decision
00000,benign_step,flat,False,200719.09748772054,813.4732952263123,246.74331495034448,0.0032978206320152083,6.108291942618869e-06,0.002948437908598834,16,,,0.0009152842730344364,False,0.0,0.0,0,0.25,0.07586615494192446,0.07900399215790387,0.004470791722129139,0.21000000000000002,0.002329755255664037,0.01873060311130176,0.0019170486160629135,0.9971081934358019,0.024940087318161323,0.0,0.2431336867238927,-0.025546847518821112,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.15600000001850245,HOLD
00000,benign_step,flat,False,200719.09748772054,813.4732952263123,246.74331495034448,0.0032978206320152083,6.108291942618869e-06,0.002948437908598834,16,,,0.0009152842730344364,False,0.0,0.0,0,0.5,0.15300285306661174,0.16236674370517742,0.004470791722129139,0.40650000000000003,0.002329755255664037,0.01873060311130176,0.002446367031050127,0.9961269254544102,0.015885205905841145,0.0,0.46776805642763425,0.05961867066492673,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.15600000001850245,HOLD
00000,benign_step,flat,False,200719.09748772054,813.4732952263123,246.74331495034448,0.0032978206320152083,6.108291942618869e-06,0.002948437908598834,16,,,0.0009152842730344364,False,0.0,0.0,0,1.0,0.2924069966145268,0.30005068529412265,0.0047999978068050345,0.735,0.002329755255664037,0.01873060311130176,0.005473575993352038,0.9925558499276944,0.01865523336699135,0.0,0.4520799699056435,0.08057745829828598,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.15600000001850245,HOLD
00001,benign_step,flat,False,168561.16289392582,791.834389433885,212.87426404205195,0.002161241733642433,5.066126867490985e-06,0.0010253981283989487,16,,,0.0024529295274528513,False,0.0,0.0,0,0.25,-0.07684727525953311,0.07935177084437109,0.002229536308744079,0.214,0.0006599349700827281,0.02555599020048564,-0.0010540020791090802,0.9997906901264381,-0.013539357358304048,0.0,0.45083848603840354,0.16448404340750217,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.15350000001849995,HOLD
00001,benign_step,flat,False,168561.16289392582,791.834389433885,212.87426404205195,0.002161241733642433,5.066126867490985e-06,0.0010253981283989487,16,,,0.0024529295274528513,False,0.0,0.0,0,0.5,-0.13718963957993863,0.14414280589341447,0.002229536308744079,0.4095,0.0006599349700827281,0.02555599020048564,-0.001376393648113436,0.9997906901264381,-0.009960179737767048,0.0,0.5780047867452851,0.09020131616490344,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.15350000001849995,HOLD
00001,benign_step,flat,False,168561.16289392582,791.834389433885,212.87426404205195,0.002161241733642433,5.066126867490985e-06,0.0010253981283989487,16,,,0.0024529295274528513,False,0.0,0.0,0,1.0,-0.25216410001684925,0.2649382363474418,0.0024208103260944026,0.7935000000000001,0.0006599349700827281,0.02555599020048564,-0.0024696124264690315,0.9997906901264381,-0.009754986691654415,0.0,0.7063186067879197,0.1434347065831627,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.15350000001849995,HOLD
00002,benign_step,flat,False,483301.4120982531,794.1074095495453,608.6096241973163,0.03141856248380558,3.276522397799237e-05,0.0027853617308391224,14,,,0.001876603593303443,True,0.0,0.0,0,0.25,0.013798966118312158,0.021101349911157582,0.005229996366299622,0.13999999999999999,0.0024785330194354097,0.005812044359784052,0.002136512750121456,0.9969477974011738,0.1443690547732079,0.0,0.15442937819370633,-0.06078161977294062,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.5415000000184994,HOLD
00002,benign_step,flat,False,483301.4120982531,794.1074095495453,608.6096241973163,0.03141856248380558,3.276522397799237e-05,0.0027853617308391224,14,,,0.001876603593303443,True,0.0,0.0,0,0.5,0.02741477356997379,0.03221508592165552,0.005229996366299622,0.39599999999999996,0.0024785330194354097,0.005812044359784052,0.002263690505469194,0.9960092228605786,0.07966597023533072,0.0,0.11205435256441842,-0.04347152336943765,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.5415000000184994,HOLD
00002,benign_step,flat,False,483301.4120982531,794.1074095495453,608.6096241973163,0.03141856248380558,3.276522397799237e-05,0.0027853617308391224,14,,,0.001876603593303443,True,0.0,0.0,0,1.0,0.06869230936515376,0.07751360000555811,0.005229996366299622,0.859,0.0024785330194354097,0.005812044359784052,0.0047549361623436875,0.9933882620480972,0.0682275591906438,0.0,0.04875272491101028,-0.03698835737303142,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.5415000000184994,HOLD
00003,benign_step,flat,False,127070.61355508241,794.9303520233152,159.85125392640114,0.00916950773043908,3.5765603651450755e-06,0.0006436761284190387,12,,,0.0007489671906039728,False,0.0,0.0,0,0.25,0.04534508153141501,0.048313638092922946,0.0015496546152369086,0.20650000000000002,0.0008310967883141553,0.02071045224828474,0.0003760812935342689,0.9992107071228814,0.008114804874802997,0.0,0.24981280520339072,0.10516726569166084,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.22450000001850157,HOLD
00003,benign_step,flat,False,127070.61355508241,794.9303520233152,159.85125392640114,0.00916950773043908,3.5765603651450755e-06,0.0006436761284190387,12,,,0.0007489671906039728,False,0.0,0.0,0,0.5,0.08481133345899196,0.08971840731426288,0.0015496546152369086,0.4195,0.0008310967883141553,0.02071045224828474,0.0006106081614042553,0.9988579890493561,0.007115705312935807,0.0,0.17196487271238775,0.09092151528003373,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.22450000001850157,HOLD
00003,benign_step,flat,False,127070.61355508241,794.9303520233152,159.85125392640114,0.00916950773043908,3.5765603651450755e-06,0.0006436761284190387,12,,,0.0007489671906039728,False,0.0,0.0,0,1.0,0.13714260549057183,0.14076007387267528,0.0015496546152369086,0.749,0.0008310967883141553,0.02071045224828474,0.0009598056238444957,0.9986126085472073,0.006947933408639828,0.0,0.418419491417581,-0.003542833198748912,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.22450000001850157,HOLD
00004,benign_step,flat,False,334134.5886269698,769.9408653241074,433.97435267488424,0.005556918449064869,1.438427055662765e-06,0.0005713271733037781,16,,,0.005279210520603551,False,0.0,0.0,0,0.25,0.023646733858890285,0.024407317144242133,0.0008020549760997192,0.19799999999999998,0.0006933790691953521,0.014376904361318363,0.0004296340683195703,0.999299025719092,0.017431683677819148,0.0,-0.016700254209286173,0.05689862695674249,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.30100000001850175,HOLD
00004,benign_step,flat,False,334134.5886269698,769.9408653241074,433.97435267488424,0.005556918449064869,1.438427055662765e-06,0.0005713271733037781,16,,,0.005279210520603551,False,0.0,0.0,0,0.5,0.038011650889201776,0.03949774495918783,0.0009152861013815986,0.408,0.0006933790691953521,0.014376904361318363,0.0008578449834274306,0.9988990615817932,0.021989456069516855,0.0,0.07447591679427269,0.04081178594673696,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.30100000001850175,HOLD
00004,benign_step,flat,False,334134.5886269698,769.9408653241074,433.97435267488424,0.005556918449064869,1.438427055662765e-06,0.0005713271733037781,16,,,0.005279210520603551,False,0.0,0.0,0,1.0,0.06879049412429401,0.07211541850924895,0.0009152861013815986,0.8564999999999999,0.0006933790691953521,0.014376904361318363,0.0018259226601115796,0.9977981823764883,0.026162913488758027,0.0,-0.026072819352829985,0.110240110088995,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.30100000001850175,HOLD
00005,benign_step,flat,False,145675.10100065696,807.1513587976921,180.48052501286762,0.00981743373055511,4.725954119387751e-06,0.0011031493478847944,12,,,0.0012888241278855171,False,0.0,0.0,0,0.25,0.0320960467163422,0.034094466405281215,0.001687449084911652,0.2,0.001375316651985371,0.014407585073705166,0.0006810464157492369,0.9987901759123012,0.020577878125031448,0.0,0.14881629891354248,-0.12708659380258833,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.22600000001850307,HOLD
00005,benign_step,flat,False,145675.10100065696,807.1513587976921,180.48052501286762,0.00981743373055511,4.725954119387751e-06,0.0011031493478847944,12,,,0.0012888241278855171,False,0.0,0.0,0,0.5,0.05944112872214641,0.06254000498928636,0.0018481571124807185,0.4345,0.001375316651985371,0.014407585073705166,0.0012302108503360807,0.9981553255125819,0.020353869564406653,0.0,0.04853263622385609,-0.05171187675754124,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.22600000001850307,HOLD
